# table produced by mapDamage version 2.0.0
# using mapped file pang106.realigned.baq.rmdup.remark.bam and /home/bio/database/GRCh37/hs37d5.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	30	6
+	31	8
+	32	12
+	33	16
+	34	21
+	35	34
+	36	9230
+	37	9619
+	38	9711
+	39	9533
+	40	9643
+	41	9514
+	42	9713
+	43	9461
+	44	9561
+	45	9650
+	46	9668
+	47	9212
+	48	8883
+	49	8432
+	50	8083
+	51	7628
+	52	7359
+	53	7098
+	54	7017
+	55	6724
+	56	6564
+	57	6186
+	58	5900
+	59	5944
+	60	5624
+	61	5228
+	62	5132
+	63	4930
+	64	4669
+	65	4653
+	66	4485
+	67	4337
+	68	4058
+	69	3991
+	70	3900
+	71	3624
+	72	3511
+	73	3490
+	74	3372
+	75	3131
+	76	3008
+	77	2996
+	78	2929
+	79	2746
+	80	2697
+	81	2575
+	82	2478
+	83	2352
+	84	2189
+	85	2079
+	86	2085
+	87	1915
+	88	1869
+	89	1820
+	90	1856
+	91	1703
+	92	1725
+	93	1592
+	94	1591
+	95	1573
+	96	1518
+	97	240
+	98	493
+	99	1039
+	100	1820
+	101	25898
+	102	173
+	103	72
+	104	13
+	105	15
+	106	7
+	107	1
+	108	1
-	30	9
-	31	11
-	32	16
-	33	14
-	34	19
-	35	38
-	36	9399
-	37	9646
-	38	9640
-	39	9792
-	40	9771
-	41	9521
-	42	9802
-	43	9668
-	44	9631
-	45	9622
-	46	9551
-	47	9101
-	48	8745
-	49	8440
-	50	8064
-	51	7406
-	52	7366
-	53	7146
-	54	6970
-	55	6722
-	56	6413
-	57	6327
-	58	6092
-	59	5836
-	60	5587
-	61	5364
-	62	5109
-	63	4842
-	64	4763
-	65	4719
-	66	4456
-	67	4308
-	68	4191
-	69	3967
-	70	3916
-	71	3810
-	72	3501
-	73	3433
-	74	3295
-	75	3305
-	76	3121
-	77	2936
-	78	2862
-	79	2805
-	80	2663
-	81	2503
-	82	2346
-	83	2416
-	84	2176
-	85	2184
-	86	2011
-	87	1921
-	88	1959
-	89	1852
-	90	1791
-	91	1726
-	92	1567
-	93	1548
-	94	1567
-	95	1577
-	96	1522
-	97	266
-	98	471
-	99	987
-	100	1789
-	101	26087
-	102	174
-	103	67
-	104	22
-	105	10
-	106	2
-	107	4
-	109	2
